Anxiety,Hours per day,Float
8.0,Age,13.0
6.0,Age,19.0
7.0,Age,33.0
3.0,Age,18.0
4.0,Age,17.0
4.0,Age,16.0
5.0,Age,18.0
4.0,Age,19.0
4.0,Age,15.0
7.0,Age,17.0
7.0,Age,25.0
3.0,Age,24.0
9.0,Age,23.0
10.0,Age,16.0
8.0,Age,16.0
8.0,Age,20.0
5.0,Age,17.0
3.0,Age,20.0
7.0,Age,21.0
5.0,Age,16.0
3.0,Age,43.0
8.0,Age,10.0
4.0,Age,27.0
9.0,Age,24.0
10.0,Age,18.0
8.0,Age,17.0
1.0,Age,19.0
5.0,Age,16.0
8.0,Age,33.0
2.0,Age,32.0
6.0,Age,15.0
2.0,Age,27.0
6.0,Age,20.0
6.0,Age,23.0
9.0,Age,16.0
10.0,Age,17.0
6.0,Age,14.0
4.0,Age,32.0
6.0,Age,20.0
7.0,Age,18.0
7.0,Age,14.0
8.0,Age,13.0
7.0,Age,19.0
6.0,Age,14.0
3.0,Age,18.0
6.0,Age,15.0
9.0,Age,17.0
7.0,Age,44.0
4.0,Age,21.0
0.0,Age,23.0
8.0,Age,18.0
5.0,Age,26.0
9.0,Age,15.0
2.0,Age,57.0
7.0,Age,12.0
10.0,Age,26.0
8.0,Age,17.0
1.0,Age,69.0
9.0,Age,17.0
9.0,Age,32.0
8.0,Age,22.0
1.0,Age,38.0
10.0,Age,18.0
3.0,Age,14.0
4.0,Age,14.0
2.0,Age,19.0
2.0,Age,20.0
8.0,Age,18.0
8.0,Age,31.0
0.0,Age,72.0
5.0,Age,73.0
7.5,Age,16.0
3.0,Age,19.0
7.0,Age,16.0
6.0,Age,39.0
8.0,Age,15.0
10.0,Age,14.0
3.0,Age,21.0
5.0,Age,38.0
7.0,Age,23.0
7.0,Age,16.0
4.0,Age,13.0
3.0,Age,16.0
10.0,Age,21.0
7.0,Age,17.0
7.0,Age,24.0
6.0,Age,14.0
7.0,Age,22.0
5.0,Age,20.0
7.0,Age,23.0
2.0,Age,61.0
9.0,Age,24.0
3.0,Age,34.0
4.0,Age,49.0
1.0,Age,33.0
3.0,Age,22.0
1.0,Age,38.0
8.0,Age,23.0
8.0,Age,34.0
3.0,Age,40.0
0.0,Age,16.0
8.0,Age,23.0
8.0,Age,22.0
6.0,Age,41.0
5.0,Age,63.0
3.0,Age,28.0
5.0,Age,58.0
0.0,Age,58.0
7.0,Age,67.0
8.0,Age,70.0
4.0,Age,60.0
9.0,Age,15.0
5.0,Age,18.0
4.0,Age,58.0
4.0,Age,28.0
9.0,Age,22.0
3.0,Age,49.0
6.0,Age,20.0
2.0,Age,55.0
10.0,Age,48.0
4.0,Age,14.0
7.0,Age,18.0
7.0,Age,25.0
4.0,Age,18.0
10.0,Age,19.0
4.0,Age,74.0
7.0,Age,36.0
3.0,Age,14.0
10.0,Age,20.0
4.0,Age,15.0
7.0,Age,19.0
6.0,Age,29.0
7.0,Age,24.0
6.0,Age,18.0
10.0,Age,21.0
7.0,Age,19.0
3.0,Age,25.0
7.0,Age,27.0
3.0,Age,60.0
5.0,Age,43.0
1.0,Age,51.0
2.0,Age,63.0
10.0,Age,24.0
7.0,Age,19.0
6.0,Age,56.0
5.0,Age,20.0
7.0,Age,19.0
7.0,Age,20.0
3.0,Age,65.0
8.0,Age,28.0
8.0,Age,18.0
2.0,Age,42.0
7.0,Age,80.0
0.0,Age,56.0
8.0,Age,20.0
4.0,Age,15.0
6.0,Age,57.0
8.0,Age,22.0
5.0,Age,17.0
10.0,Age,19.0
0.0,Age,50.0
8.0,Age,24.0
7.0,Age,18.0
3.0,Age,15.0
5.0,Age,17.0
6.0,Age,18.0
5.0,Age,18.0
8.0,Age,18.0
8.0,Age,18.0
3.0,Age,17.0
0.0,Age,34.0
5.0,Age,18.0
2.0,Age,18.0
4.0,Age,19.0
10.0,Age,25.0
8.0,Age,25.0
3.0,Age,18.0
10.0,Age,24.0
10.0,Age,16.0
9.0,Age,18.0
6.0,Age,18.0
3.0,Age,16.0
10.0,Age,68.0
4.0,Age,16.0
3.0,Age,21.0
1.0,Age,53.0
5.0,Age,29.0
3.0,Age,18.0
1.0,Age,22.0
6.0,Age,19.0
6.0,Age,26.0
2.0,Age,14.0
8.0,Age,27.0
8.0,Age,26.0
1.0,Age,59.0
8.0,Age,30.0
6.0,Age,27.0
2.0,Age,18.0
0.0,Age,23.0
10.0,Age,18.0
3.0,Age,40.0
7.0,Age,24.0
8.0,Age,23.0
10.0,Age,29.0
6.0,Age,16.0
3.0,Age,18.0
6.0,Age,21.0
7.0,Age,32.0
10.0,Age,22.0
0.0,Age,17.0
0.0,Age,18.0
